number,short_description,kb_category,meta
KB0016363,Application - DUO Remember For 60 Days,Duo,"KCS, remove DUO remember me, remove DUO 60 days, remove DUO remember, cancel DUO remeber, clear DUO cache and cookies, clear DUO, remove 60 days, cancel 60 days option, DUO 60 days, DUO remember, clear cache and cookies, clear specific cache, clear specific cookies, clear website cache and cookies"
KB0019631,Cannot Make International Calls,Telecom,"KCS, voip_international, voip_international_calls, voip_international_call, international_calls, international_call, international_calling, cisco_international_call, cisco_international_calling, voip_international_calling,  polycom_international_call, polycom_international_calling, polycom_international_calls, cisco_international_call, cisco_international, polycom_international, calling_internationally, telecom_international_call, telecom_international_calling, telecom_international_calls"
KB0020396,A&M Email Firebase Access,,"KCS, Firebase, TAMU, Gmail, Access, TAMU_Gmail, Systems, "
KB0019189,TAMHSC - Office 365 Password Reset,,"KCS, HSC , Office 365, 365, OneNote, Problem with your account, Reset Password, "
KB0015232,Unable to Log In,Windows Applications,"login, log_in, unable_to_login, unable_to_log_in, does_not_boot, boot, os, "
KB0016157,Outlook 2010 - Slow Delivery,Outlook," exchange, outlook, 2010"
KB0019831,Trello Login,,KCS
KB0018690,Software Not Visible in Software Center,Office,"KCS, software, program, software disappeared, program not visible, empty cart, software list, software.tamu.edu, software not showing, cancel order, order"
KB0016530,Separate Two Email Accounts after Merging in Gmail Web Access,Gmail,"KCS, gmail, merge, email, accounts, address, addresses, separate, unmerge, two, multiple, 2, web, client, merged, website, inbox, inboxes, mailbox, mailboxes, "
KB0014809,Matlab is Giving an Error Message,Windows Applications,"KCS, MatLab error, MatLab issues, MatLab, mat_lab, matlab not working, license checkout failed, matlab_license_error, matlab username,"
KB0016301,Listserv Error - Not Yet in Signup File,Listserv,"KCS, listserv no sign up, listserv unable to add, add to list, cannot add new student to list, listerserv, error adding listerv, error adding list"
KB0013600,Setting up Shared Exchange mailbox on iPad,Exchange,"KCS, shared mailbox, exchange client support, ios, IMAP, exchange support, "
KB0017075,TAMU_WiFi - No Internet While Connected,TAMULink-WPA,"Connected to wifi, but no internet available, TAMU_WiFi, No internet when connected to wifi, "
KB0015954,Google Groups - TAMU IT Resource Account,Professional IT Solutions,"reousrse accounts, pro account, google groups, shared email, how to create a shared gmail, resource request"
KB0019942,TAMUQ - Mapping TAMUQ Drives on Mac (Student),,"KCS, Students, Qatar, TAMUQ, Drives, Network Drives, Macbook, MacOS, TAMUQ VPN, P drive, H drive"
KB0019557,Howdy - Parent Token - Account Already Active Error,,"KCS, Parent, Token, Parent Token, NetID, Already Claimed, Account, Howdy, "
KB0019221,Requesting a Shared Mailbox,,KCS
KB0017474,OAL - Home and Profile Storage Disabled,Open Access Labs,"KCS, people.tamu.edu, people webspace, people website, webpage, people webpage, oal, oal home drive, home drive, drive, profile, oal profile, h:, h: drive, h drive, enable drive, staff"
KB0015118,Autodesk revit isn't installing,Software,"revit, microsoft, autodesk, install, revit_install, install_revit, revit_2018"
KB0018865,TAMHSC - Acess to Restricted Folder,TAMHSC Accounts,"KCS, restricted_folder, folder_access, drive_access, drive_ownership, drive_owner"
KB0019650,Can't login to HSC Issued Computer,TAMHSC Accounts,"KCS,HSC,hsc cannot login, hsc computer, hsc mac, hsc password computer"
KB0014629,Website Error Bad Gateway (502),Web Applications,"KCS, Howdy, bad_gateway_Howdy, bad_gateway, Howdy_bad_gateway, 502 error, 502, badgateway, bad gate way, "
KB0018872,New TAMHSC Employee Account Expired,,KCS
KB0019160,Zoom - Sharing Recorded Meetings,Zoom,"KCS, zoom, zoom_meeting, zoom_recording, share_zoom, zoom_video, record_zoom"
KB0014687,Howdy - Contact Information incorrect,Staff Member,"KCS, howdy phone number, update phone number in howdy, update phone number, workday, update contact information, contact information, howdy contact information, howdy contact, phone howdy, number howdy"
KB0018144,eCampus Profile Picture,eCampus,"profile, pic, avatar, ecampus avatar, uploading pic, ecampus picture, sideways picture"
KB0015115,Scanning Service,Other Tech Support,"scan, scanning, scaning_service, service_scanning, assesstment, assessment.tamu.edu, PICA, grade, email_grade, grade_email, grades, scanning_and_evaluation"
KB0018173,Exchange on iPhone 5,Exchange,"exchange mail, email, mays it, exchange email, iphone, ios, iphone 5, outdated ios, "
KB0017751,Install Plotly Python Module in Anaconda,Software,"KCS, python, plotly, anaconda, plotly_python_module, module, "
KB0018094,Office Not Activating With Login MacOS,macOS Applications,"KCS, macos, cannot login to office, office 2016, cannot activate office, activating office, keychain, access keychain, product key, session expired, office session, "
KB0018499,Outlook - Sending Mass Emails,Outlook,"KCS, exchange, outlook, mass emails, mass email, email list, many emails, send many emails, large list"
KB0016826,Student Billing Question,General,"KCS, student, billing, question, bill, tuition, business, financial, "
KB0015026,WiFi - Can't See WiFi Networks (Windows),Windows 10 OS,"KCS, can't see wifi networks, wifi, wifi drivers, cannot see wifi networks, wifi, wi fi, wi_fi, wireless networks, wireless_network, wireless network, wireless_networks, no network found, no_network_found, no networks found, no_networks_found"
KB0018997,Microsoft Office Authentication Error,Software,"KCS, Office_2019, Mac_keychain, keychain, Office_keychain, Office_mac"
KB0016852,Wireless - Connecting Smart Watches,TAMULink-WPA,"KCS, smartwatch, smart watch, smart_watch, wifi, wi fi, wi_fi, wireless network, wireless_network, wireless,TAMU_WiFi, TAMU_WiFi, TAMU Link, TAMU link wpa, TAMU_link, eduroam, campus wifi, campus_wifi, connect"
KB0016196,Proofpoint - Allow Sender,"Email, Calendar, and Collaboration","KCS, allow sender on proofpoint, add email to safe list, add sender to proofpoint safe, proofpoint mark as safe, allow email in proofpoint, email not in inbox from quarantine, quarantine email, proofpoin"
KB0018179,Institute of Biosciences and Technology Computer Login,TAMHSC Accounts,"tamhsc, hsc, tamu, podium login, houston, "
KB0016151,Password Manager Recommendations,Software,"KCS, password manager recommendations, password manager, "
KB0018470,DocuSign -  Accessing and Transferring Templates,DocuSign,"KCS, Docusign Template Access, Accessing and Transferring Templates, Template sharing, accessing templates, shared templates, docusign,"
KB0018114,Office - Cannot Edit Documents (Mac),Office,"KCS, Office, microsoft office, document permissions, edit, permission to edit, documents, edit docuents, Office 2016, 2016, keychain, mac, macos, macbook"
KB0016675,Networking - FireTV Setup,Resnet,"KCS, FireTV, firetv setup, firetv stick, tv ethernet, fire tv connection, connect fire tv, "
KB0018055,Yubi Key for TAMUG,Duo,"KCS, duo, two factor, yubi key, tamug, how to buy yubi key, cant connect to duo, cant use duo, option for duo"
KB0016189,MyLeo Account Error Message,"Access, Accounts, and ID","KCS, myleo account error message, myleo, my leo, myleo account, my leo account, myleo error message, my leo error message, "
KB0016335,OAL - Guest Login,"Access, Accounts, and ID","KCS, OAL login, Evans login, Evans OAL, OAL guest login, OAL guest credential, Evans library login, library login, library credentials, OAL guest, library computer, library login, log in, OAL, library, Evans"
KB0018142,Duo Enrollment without Cell Service,Duo,"duo, can't_enroll_in_duo, duo_enrollment, no_cell_service, can't_receive_phone_call, phone_call, can't_call "
KB0018827,Software Center Payment - Contact Help Desk Central,Software,"KCS, software_center, software_purchase, purchasing_software,"
KB0015736,I-20 Form,Public Directory,"KCS, I-20, international, student, services, iss, i20"
KB0015609,Exchange - Editing Additional Name Display,Exchange,"KCS,exchange,display_name,change_display,change_name,edit_name,change_name,additional_display_name"
KB0018185,TAMUDirect - Cannot Approve Emails Via Email,TAMUDirect,"KCS, tamudirect, course list, class list, lists, class lists, course lists, tamu direct, google groups, approve, approving email, error 658, error: 658, you do not have permission to access this content"
KB0019297,VPN on Ubuntu Non-web install,,"KCS, linux_vpn, ubuntu_vpn"
KB0016089,Docusign - Uploading Document,General,"docusign, docu, sign, docu sign, electronic signature, signature, upload document, how to upload, cant upload, how to upload document in docusign"
KB0015699,OAL - VOAL Files Permission Denied,Open Access Labs,"KCS,VOAL,OAL,permission_denied,vworkspace,client,lss,permissions,access_denied"
KB0019636,Cannot Log Into LinkedIn Learning ,Web Applications,"KCS, linked_in, linkedin, linked_in_learning, linkedin_learning, lynda"
KB0016176,Office 2016 for Mac Error After Update,Office,"update mac, updated mac, macOS, office_2016, microsoft office, "
KB0017945,Software - Eclipse Fails to Launch,Software,"KCS, eclipse cant launch, eclipse fails, error code 13, eclipse, java, java with eclipse"
KB0018219,Stuck in Tablet Mode,Windows Applications,"windows, tablet, stuck, desktop, modes, "
KB0017526,MacOS - Not Powering On (Sleep Mode),Counter,"KCS, mac, macbook, macos, mac os, os x, osx, won't turn on, will not turn on, won't power on, will not power on, blank screen"
KB0017174,Outlook - Calendar Entries/Emails Not Transferring to New Account,Outlook,"KCS, outlook, outlook_2016, outlook calendar, calendar, new_account, exchange, department"
KB0018658,Zoom - Scheduling Meetings For Others,Zoom,"KCS, Zoom, zoom schedule, zoom meeting, schedule zoom meeting, meeting between others, zoom conference, schedule conference, schedule meeting, schedule, video, zoom, schedule privilege"
KB0016927,Webassign Account Issues,eCampus,"KCS, webassign, account, error, issues, multiple, link, linked, tamuq, tamu, class, register, ecampus, "
KB0018225,uDots - Unable to Shorten Link,HDC Services,"KCS, uDots, uDots link, u.tamu.edu, cannot shorten, shorten link, link shortening, cannot shorten link, uDot shorten, u.tamu.edu shorten, udot error, u.tamu.edu error, URL shortening"
KB0020331,Zoom recordings,Zoom,"KCS, zoom_recording, zoom_recordings, zoom_video, meeting_recording, meeting_recordings, zoom_meeting"
KB0017680,Software - Software hold on account,Software,"KCS, software hold, hold on account, software hold on account, paying hold on account, paying software, paying software hold on account"
KB0014859,Syncplicity details,Syncplicity,"syncplicity, resource_account, shared_files, account"
KB0018800,Unable to Connect to VPN - Ubuntu,VPN,"KCS, ubuntu, VPN, vpn_ubuntu, ubuntu_vpn"
KB0018490,Can't Send Emails,Gmail,"KCS, emails, gmail, net nanny, netnanny, parental controls"
KB0014824,Password - Expired after reset,NetID,"KCS, ecampus, password reset, password expired, authentication error, cache and cookies, can't login, password still expired after reseting it, "
KB0016317,Separate Resume,Applicant,"KCS, resume, application, submit, applicant, ais, upload, document, "
KB0016225,Server - Philo Access,Media and Telecommunications,"KCS, philo access, access to philo, cannot access philo, allowed to get philo, philo eligibility, eligibility for philo, tamu.philo.edu, PhiloTV"
KB0017267,TAMU_WiFi - Can't Connect to WiFi,TAMULink-WPA,"KCS, WiFi, wifi, can't connect to this network, unable to connect, Mac, macOS, TAMULink-WPA, tamulink-wpa, Eduroam, eduroam, international student, no entitlement, wireless, radius, international, International Student, TAMU_WiFi"
KB0016398,Email - Unable to Send with ListServ ,Listserv,"KCS, Listserv error, cannot send email in listserv, listserv served out, served out, unable to email in listserv, listserv email problem, can't send listserv"
KB0019229,CAL Number Needed,Software,"KCS, CAL, server_migration, windows_migration, windows_server_migration, cal, client_access_license, client_access_license_number, client_access, client_access_license_numbers, cal_number, cal_numbers"
KB0016167,VOAL - Can't Access Local Disk,VOAL,"voal, cannot access local disk, local disk error, vmware_horizon, horizon, shared folder, virtual oal, "
KB0020268,KCS- Moodle Password Reset,,KCS
KB0019280, PowerPoint Audio Issues,Software,"KCS, PowerPoint, Symantec_DLP, PowerPoint_Audio, Symantec"
KB0019036,VMWare Horizon Install Fails,VOAL,"KCS, VOAL, VMWare, VM_Ware, VOAL_fail"
KB0018151,Logging into a Different Domain,OAL,"domain, on campus computer, oal, mbs, logging in, change domain, voal"
KB0016377,Student Discount on Computers,General,"laptop student discount, discounts, tamu, student life, how do i get a discount, cheap computers, "
KB0020381,Hiding Canvas course,,KCS
KB0018130,Office - Word Does Not Respond to Keyboard,Office,"KCS, Office, office 2016, windows, microsoft, word, microsoft word, not typing, keyboard, not responding"
KB0017695,Disable OneDrive on Personal Computer,Windows Applications,"KCS, onedrive, one_drive, disable_drive, disable_onedrive, disable_one_drive, turn_off_drive, turn_off_onedrive, turn_off_one_drive"
KB0018981,PyCharm Issues,Software,"KCS, PyCharm, Python, Pycharm, PyCharm_error"
KB0015361,Mac stuck at login,macOSX,"KCS, OSX High Sierrs, OS High Sierra, unable to log into computer, computer log in screen, loading bar, log in computer screen"
KB0019152,VOAL Not Connecting,VOAL,"KCS, VOAL, VMWare, VOAL_not_connecting, VOAL_connection"
KB0018078,"OAL - Unable to Log In (""... can not authenticate with Duo Security."")",OAL,"KCS, OAL, log in, logging in, can't log in, cannot log in, can not log in, on campus machines, on campus computers, duo, duo security, authenticate, can not authenticate"
KB0019426,Delete LinkedIn Learning Account,"Access, Accounts, and ID","KCS, linkedin, learning, account, linkedinlearning, linkedin_learning, linked_in_learning, linked in learning, "
KB0014826,Access Code for Laserfiche,Learning Management System,"KCS, laserfiche access, password laserfiche, access laserfiche, authenticate laserfiche, tamuk, tamu, agrilife, pv, prairie, view, college, station, kingsville, aglife, ag, unable, log, in, on, login, logon, laserfiche, error, has, occurred, "
KB0019165,Renting Walkie Talkies ,Teaching and Classroom Technology,KCS
KB0017958,Github - Login Error,Web Applications,"KCS, Github_log_in, Github_login, github.tamu.edu, cannot_log_into_github, "
KB0018214,How to find MAC address for Google Ethernet adapter for Chromecast,Resnet,"resnet, registering_google_chromecast, chrome_cast, mac_address, finding_the_mac_address, wired_mac_address"
KB0017200,VOAL - Unable to Log In to VMware Horizon Client,VOAL,"KCS, VOAL, vmware horizon client, unable to log in, VM_ware, horizon, desktop client, voal desktop client"
KB0018199,Wrong Name on OAL machine or Aggieprint,OAL,"wrong name, update name, name change, how to change my name, name on computer, incorrect name, update the name, university name change, oal, aggie print, "
KB0015537,Computer Doesn't Start Up,Windows 10 OS,"computer, windows, blue screen, boot, boot problem, badblocks, ssd, windows 10, computer crashes"
KB0018265,Install SAS University Edition for TAMUCT,Software,"KCS, sas, university, edition, sas_university_edition, install, tamuct, "
KB0018462,VM Errors,HDC Services,"KCS, VM, virtual machine, virtual machines"
KB0015533,Apple Keychain Will Not Allow the Computer to Lock,macOS Applications,"apple, apple keychain, computer lock, keychain lock, high sierra"
KB0015336,Gmail - Managing Proofpoint Emails,Gmail,"KCS, manage quarantined emails, manage proofpoint emails, proofpoint quarantined emails, quarantine proofpoint, proofpoint email,"
KB0018029,iRIS - Login Issue,Other Tech Support,"KCS, iRIS, login_issues, iRIS_login_issue, required headers are not present login failed,  required headers, headers not present, shibboleth, shibboleth error, iris login"
KB0016200,Proofpoint Quarantine - Stop Receiving End User Digest,"Data, Servers, and Storage","KCS, stop end user digest, no longer receive end user digest, block quarantine end user, block end user digest, remove end user digest, receive quarantine end user, end user digest"
KB0018818,OAL Computer Keeps Logging Off,Open Access Labs,"KCS, oal, oal_sleeping, oal_sleep, sleep_mode, oal_issue, scc, student_computing_center, library_computer_sleeps, VOAL_sleeping, VOAL_sleep, VOAL_sleep_mode, OAL_logs_off, computer_logs_off, VOAL_logs_off, VOAL_logging_off, voal_issue, voal_quits, voal_quitting"
KB0018137,Aggie Map Not Displaying,General,"aggiemap, aggie_map, can't_find_aggie_map, map, map_not_working, blank_map, internet_explorer, ie, white_map, aggiemap.tamu.edu, "
KB0018621,DUO -  Status Is Disabled,Duo,"KCS, enable DUO, unable to use DUO, enroll in DUO, DUO enroll, DUO enable, DUO disable, DUO disabled, re-activate DUO, reactivate, re-enable DUO"
KB0016987,Windows 10 - Keyboard Issues/Irregularities,Windows 10 OS,"KCS, Windows, Windows 10, windows_10, keyboard, keyboard not working, keyboard_not_working, wrong keys, wrong_keys, keyboard problems, keyboard_issues, keyboard_irregularities"
KB0018208,AggiePrint Credits,OAL,"aggieprint, print_funds, can't_print, not_enough_money, notification_of_payment, added_money_to_print, oal, printing, payment_notification"
KB0018799,Book the HCRF Conference Room,Exchange,"KCS, HCRF, conference_room, HCRF_room, HCRF_conference_room"
KB0018233,University Calendar  (Livewhale),General,"livewhale, live whale, calendar, university events, update calendar, access to calendar, managing calendar, academic calendar, event calendar, events calendar, "
KB0018159,Grey box for Duo on iOS,Duo,"duo not working, duo app, gray box, grey box, ios, ipad, duo not working on ipad"
KB0016528,Ship PC to TAMU Before Move-In Day,General,"KCS, pc, ship, college, station, mail, device, computer, mac, tamu, come, in, move, in, day, "
KB0017107,"VOAL - Unable to Access VOAL ""This version of Horizon does not work on this computer.""",VOAL,"KCS, voal, access, client, vmware, vm, ware, browser, virtual, open, access, lab, connect, server, computer, mac, macos, os, x, os x, old, outdates, unable, cant, cannot, not, able, can't, safari, chrome, this version of horizon does not work on this computer"
KB0018813,Jobs for Aggies - Invalid Username,General,"KCS, jobs, jobs_for_aggies, jobs_error"
KB0018736,Office Issue ,Office,"KCS, insert_symbol_not_working, Office_2016_button, more_symbols_office, more_symbols, symbol_box"
KB0018584,Outlook - Emails Stuck in Outbox,Outlook,"KCS, outlook, exchange, outbox, emails not sent, emails stuck in outbox, email not sent, email stuck in outbox, issue sending emails, issue sending email, email, mail"
KB0019064,Word Stuck in View Only Mode ,,KCS
KB0019563,DSA Exchange Account - Android,Exchange,"KCS, exchange, exchange_dsa, exchange_android, dsa_email, dsa_exchange"
KB0018630,General - Unable to Open PDF Files in Firefox,Applications and Software,"KCS, firefox pdf, unable to open pdf, pdf not downloading, firefox browser, firefox, pdf, web browser, pdf files"
KB0015182,Mac won't turn on / no response,macOS Applications,"macOS, mac_won't_turn_on, mac_died, no_response_mac, high_sierra"
KB0017522,Simulation IQ - Viewing Videos in Simulation IQ,Software,"KCS, Simulation, iq, simulation iq, videos, viewing videos, can't see videos, can't access videos, hsc, tamhsc"
KB0016705,Connecting RokuTV to the Network,Resnet,"KCS, roku, tv, rokutv, internet, wifi, wireless, network, connect, mac, address, adapter, connecting"
KB0019169,PCR-360 Emails,Telecom,"KCS, PCR-360, Telecom_billing, billing, pcr, 360, telecom, phone"
KB0018438,Email - Set up on BlackBerry Hub+,Android Applications,"KCS, blackberry, blackberry hub, blackberry hub+, hub+, android email, email android, blackberry email, email blackberry, android lollipop, android oreo, android marshmallow, android nougat, android pie"
KB0018381,Websites - Troubleshooting ASTRA (scheduling.tamu.edu),General,"KCS, websites, website, web site, astra, scheduling, schedule, schedule software, scheduling.tamu.edu, registrar, ad astra, ad astra information systems, aais"
KB0018270,Compass Affilliate WiFi Access,WiFi,"KCS, UIN ending in C,  wifi access, compass, wifi, TAMU-WiFi, wpa, compass_contractor, compass_worker,  compass_affiliate, compass_affiliate_wifi_access, "
KB0020219,eCampus - Unable to access with Lockdown Browser,,"KCS, eCampus, Lockdown_Browser, Browser, Lockdown, exam, Unauthorized_NetID, Unauthorized_Password, Error, Login"
KB0015311,Microphone Not Working in Chrome or Safari,Web Applications,"google_chrome, safari, microphone, secure website, unsecure website,KCS"
KB0018539,Unable to Upload Files to eCampus,eCampus,"KCS, upload, ecampus, files, submission, drag, drop, browser, web, safari"
KB0018226,Symantec Endpoint Encryption - Unable to log in After Password Change,Security,"KCS, symantec, symantic, symantec endpoint, symantec endpoint encryption, symantic endpoint, symantic endpoint encryption, cannot log into symantec, log in symantec, symantec password, password symantec, symantic password"
KB0016618,Error 403 after Clicking on Tuition/Fees Link,General,"KCS, error, 403, howdy, clicking, link, tution, fees, pay, finances, "
KB0016644,Account - Change User to Adminstrator,"Access, Accounts, and ID","KCS, administrator account, change account user, user to administrator, change user"
KB0016788,Email - Listserv Unsubscribe Link,Listserv,"KCS, unsubscribe link, listserv unsubscribe option, link to unsubscribe, unscubscribe, listserv, AAPO, list configuration, AAPO listserv"
KB0015039,Transfering Credits,Public Directory,"admissions, contact, transcripts, prospective_student, applicant, send_transcripts, directory, apply"
KB0018139,SPSS License Error in OAL,Software,"spss, license error, licensing error, cant access spss, lab, oal, on campus, spss not working, class spss"
KB0016976,Unable to Open DWG File,OAL,"KCS, dwg, file, oal, computer, autocad, auto, cad, access, archive, windows, voal, unable, cant, can't, cannot, log, in, on, login, logon"
KB0016449,Application - Mac Mail Cannot Send Emails,macOS Applications,"KCS, mac mail, macmail, mac mail cannot send, cannot send email, can't send email, can't send exchange email, cant send with mac, cant send with exchange, cannot send, receive but not send, recieve, send, email"
KB0017165,MacOS - Incorrect Apple Keychain Password,macOSX,"KCS, keychain, incorrect password, mac, apple, macos, osx, os_x, key_chain"
KB0019829,Bulk Mail Database Synchronization Time,Bulkmail,"KCS, bulk mail, update database, bulk mail update, time"
KB0019369,Syntax Error When Uploading to AIS,Other Tech Support,"KCS, syntax, error, aid, application, information, system, application_information_system, resume, pdf, json, invalid token, "
KB0016790,Network - Proxy Connection Error using Campus WiFi,WiFi,"KCS, proxy connection failed, proxy error on website, wifi website error, err proxy, campus wifi error, proxy error, connection failed, "
KB0016235,TAMUCT - Fines on Account,TAMUCT,"TAMUCT account fine, Fine on Tamuct account, TamuCt business office, fines on account, TAMUCT,"
KB0016485,eCampus - LEARN Account Not Found,eCampus,"KCS, ecampus_learn, LEARN_account, can't_find_account_LEARN, learn_ecampus_account, account_module_not_found, no_learn_module"
KB0017095,"WiFi - Can't Connect (Connected, No Internet.)",TAMULink-WPA,"KCS, wifi, tamulink-wpa, campus network, campus_network, can't connect, can't_connect, connected no internet, connected_no_internet, no_internet, tamuwifi, tamu_wifi"
KB0014834,EZ proxy gives 502 bad gateway error,Other Tech Support,"502_error, EZ_proxy, ez, proxy, error, bad_gateway, library, libraries, google_scholar"
KB0017047,TAMUCT Reporting Suspicious Mail,Outlook,"KCS, reporting, report, spam, phishing, scam, email, mail, tamuct, "
KB0018533,Unable to Open Files in Word,Software,"KCS, files, block, blocked, word, documents, error, word_experienced_an_error_in_opening_the_file, permissions, text"
KB0015957,Inactive Port,Resnet,"not recognized network, port not acivated, unable to connect to internet, office, on campus, media installation, wireless installation, network moves"
KB0016026,Canvas - Courses,Learning Management System,"Course not showing up on Canvas, Courses in canvas, Canvas, Tamuct canvas, Tamuct, "
KB0020422,Galveston - Get It For Me,Applications and Software,"KCS
Get It For Me"
KB0017425,Copier - Unable to Send Messages ,Other Tech Support,"KCS, copier, scan-to-email, scan to email, message was rejected, size limit, file size too big"
KB0018716,Zoom - Cloud Storage Limit ,Zoom,"KCS, zoom, zoom storage, cloud storage, zoom limit, storage, cloud limit, storage limit, space in zoom, available space, zoom storage limit, zoom account, pro account"
KB0020202,Listserv - Editing List Ownership,Listserv,"KCS, list_owner, list_manager, listserv_owner, listserv_manager, listserve_owner, listserve_manager, change_listserv, change_listserve, change_list_owner, change_list_manager, edit_list_owner, change_listserv_owner, edit_listserv_owner"
KB0017723,Software - Uninstalling Antivirus,Software,"KCS, Remove McAfee, endpoint, Endpoint security, remove endpoint security, remove antivirus, uninstall McAfee Endpoint, uninstall antivirus, McAfee Endpoint, McAfee "
KB0018989,Adobe Creative Suite Connection Issues,Software,"KCS, Adobe_creative_suite, adobe, adobe_creative"
KB0020225,DUO - Parent Unable to Enroll,,"KCS, DUO, Two_Factor, Authentication, Parent_Account, Unable_to_Create_DUO_Account, "
KB0017452,Exchange - Suppressed ID,Exchange,"KCS, exchange, email address not showing up, Global Address Book, global address book, GAB, email not showing up, no email address in GAB, suppressed email in Global Address book, suppressed email in GAB"
KB0016592,Syncplicity - Unable to Receive Syncplicity Emails,Syncplicity,"KCS, syncplicity, receive, emails, "
KB0017066,Docusign - Escalating to Admin Privileges,Web Applications,"KCS, docusign, escalate, escalating, admin, privileges, sender, level, account, administrator, sign, manage, documents, signature, administration,"
KB0018692,Docusign Multiple Accounts,DocuSign,"KCS, docusign, docusign account"
KB0018840,College of Dentistry Transcript Request,General,"KCS, HSC_transcript, transcript, hsc, records, "
KB0014968,Old course is still showing up in eCampus,Learning Management System,"ecampus, blackboard, previous course, old class, remove_course"
KB0015223,FireStick can't find Network,Software,"firestick, amazon, wireless, firestick cannot connect to wireless, cannot connect firestick to wireless"
KB0020216,Canvas - User Does Not Exist Error When Accessing Zoom on Canvas,Canvas,"KCS,user does not exist,error,zoom,canvas,"
KB0017159,Outlook 2016 - Asked to Authenticate at pfmb-w1a1@exchange.tamu.edu,Exchange,"KCS, outlook, outlook 2016, authenticate, asked to authenticate, strange authentication, pfmb-w1a1@exchange.tamu.edu"
KB0019220,Anaconda Installation/Uninstallation,Software,"KCS, install_anaconda, uninstall_anaconda, anaconda_windows, anaconda_on_windows, anaconda_mac, anaconda_on_mac, anaconda_macos, anaconda_on_macos, anconda_on_mac_os, anaconda_mac_os, anaconda_linux, anaconda_on_linux, anaconda_installation, anaconda_install, anaconda_uninstallation"
KB0015691,TAMUDirect - Ownership Transfer ,Listserv,"listserv, ownership, transfer ownership, list serv, tamudirect, authorize ownership, list owner, list, listserv admin, group email, "
KB0017198,Office 2016 - Installation Assistance (Personal),Office,"KCS, office 2016, reinstall office, office, office for mac, office 2016 mac, office 2016 for mac"
KB0018563,Endnote - Eligibity for Purchase (Non-Agrilife),Software,"KCS, Endnote, Endnote_elegibility_for_purchase, Purchasing_endnote,"
KB0018565,Virtualization - Connecting to Engineering VM,Other Tech Support,"KCS, virtualization, vm, vmware, horizon client, engineering vm, remote, coe, connect.engr.tamu.edu, coe-connect.engr.tamu.edu, unable to connect, can't connect"
KB0018567,Bulkmail - Sending a Meassage With Pictures,Bulkmail,"Bulkmail, Messages_with_pictures, Sending_Bulkmail_with_picture, Sending_Bulkmail_with_pictures, Sending_Bulkmail_messages_with_pictures"
KB0018752,Exchange - Unable to log into services.tamu.edu/exchange,Exchange,"KCS, exchange, exchange management, manage exchange emails, email account, email management, bad gateway, exchange app, exchange manager, manage, email, app, services.tamu.edu, services.tamu.edu/exchange"
KB0018753,VOAL Login Failed,OAL,"KCS, VOAL, group_policy_client, login_failed, VMware"
KB0018757,Email - Importing Contacts from Yahoo and Gmail to Outlook,"Email, Calendar, and Collaboration","KCS, email, contacts, import, export, move email contacts, yahoo, gmail, outlook, exchange, email account, transfer"
KB0018770,Zoom - Set Up on iPad,Zoom,"KCS, zoom, zoom on ipad, ipad, zoom account, set up zoom, setup zoom, zoom on ios, ipad account, webex, "
KB0018780,HRPC - Allocating SU with Accounts,"Access, Accounts, and ID","KCS, HRPC, SU, allocate SU, transfer SU, High Performance Research Computing, High Performance, hrpc.tamu.edu"
KB0019362,Unable to Install Microsoft Project ,Office,"KCS, Microsoft_project, project, ms_project, microsoft"
KB0019188,Accessing Unbounded Accounts via Mobile,,KCS
KB0019224,Unable to send from Unbound Account,,KCS
KB0015041,Microsoft Access not included in Office 365 for Mac,Software,"microsoft, access, microsoft_access, software, mac, windows, download, not_included, office_365, office 365, OS X, OS_X"
KB0015642,Applicant - Howdy Login,Applicant,"howdy, acceptance, login, login issue, uin, reactivate uin, uin deactivated"
KB0015518,What is my UIN?,Howdy,"KCS, howdy, uin"
KB0016012,Duo - Cannot Access Primary Number,Duo,"duo, two factor, cant login to duo, forgot phone, forgot cellphone, logging into duo, sso, netid, alternate number, by pass codes"
KB0014911,Visiting Scholar - Library Access,Visiting Scholar,"KCS, visiting scholar, libraries, scholar_libraries, evans, annex, visiting professor, guest access, library_access, "
KB0015017,scanning@tamu.edu Emails going to Spam,"Email, Calendar, and Collaboration","filters, spam, google_mail, scanning, emails, gmail, scanning@tamu.edu, safelist"
KB0020360,EndNote X9 Not Working on Word,,KCS
KB0020352,Adobe PDF Error,Office,"KCS, adobe_pdf, adobe_error, print_to_pdf, print_to_pdf_error, adobe"
KB0017873,Information about Laserfiche (TAMUK),General,"KCS, laserfiche, tamuk, unable_to_log_in_to_laserfiche, laserfiche_tamuk, a&m_kingsville_laserfiche_login, a&m_kingsville_laserfiche, tamuk_laserfiche_login,"
KB0020341,Adding Exchange Calendar to Google Calendar,Gmail,"KCS,exchange_calendar,google_calendar,calendar,google,exchanged,adding_calendar,adding_exchange_to_google"
KB0016611,Faculty/Staff Unable to Log in to Howdy,Staff Member,"KCS, howdy, faculty, professor, authorized, person, not, unable, cant, cannot, can't, not, able, future, user, staff"
KB0017116,Software Center - Form Not Submitted Error,Office,"KCS, office, office_2016, downloading_office, purchasing_office, buying_office, buying microsoft office, purchasing microsoft office, form_not_submitted, software center, software_center, software.tamu.edu"
